id;content
items/dio-inscriptions-raw/dio~di102-0011~1;"<sco>
<!--ID der Inschrift:  sections-278511--><!--ID des Inschriftenteils:  sections-295318--><!--ID der Bearbeitung (Version):  sections-311843-->
<sec>
<par>
<lno> [– – –]DOL[– – –]</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0012~1;"<sco>
    <!--ID der Inschrift:  sections-269482-->
    <!--ID des Inschriftenteils:  sections-285900-->
    <!--ID der Bearbeitung (Version):  sections-302274-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>+ HI[C IA]CET ˑ GHERTRVDIS ˑ FILIA ˑ HERM<lig>AN</lig>I ˑ FVNNIF(IC)IS</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-280113-->
    <!--ID des Inschriftenteils:  sections-297153-->
    <!--ID der Bearbeitung (Version):  sections-313780-->
    <sec>
      <snr>B</snr>
      <par>
        <lno> Die[ser – – –]</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279745-->
    <!--ID des Inschriftenteils:  sections-296664-->
    <!--ID der Bearbeitung (Version):  sections-313290-->
    <sec>
      <snr>C</snr>
      <par>
        <lno>Christus ist mein Leben vnd ‎/ Sterben ist mein Gewin<appnum id=""footnotes-appnum-dio-di102-0012-2"">2)</appnum></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279747-->
    <!--ID des Inschriftenteils:  sections-296666-->
    <!--ID der Bearbeitung (Version):  sections-313292-->
    <sec>
      <snr>D</snr>
      <par>
        <lno>ANNO 1658</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279746-->
    <!--ID des Inschriftenteils:  sections-296665-->
    <!--ID der Bearbeitung (Version):  sections-313291-->
    <sec>
      <snr>E</snr>
      <par>
        <lno>GEHÖRET ˑ JETZO<appalpha id=""footnotes-appalpha-dio-di102-0012-a"">a)</appalpha> ‎/ MICHEL ˑ HARTEKEN ‎/ vnd seinen Erben ‎/ ANNO 1713</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0013~1;"<sco>
<!--ID der Inschrift:  sections-278605--><!--ID des Inschriftenteils:  sections-295412--><!--ID der Bearbeitung (Version):  sections-311967-->
<sec>
<par>
<lno> ANNO ˑ D(OMI)NI ˑ M CCC ˑ ‎/ [– – –] ˑ P(RO) A(N)I(M)A EI(US) ˑ [A]ME(N)</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0014~1;"<sco>
    <!--ID der Inschrift:  sections-278614-->
    <!--ID des Inschriftenteils:  sections-295421-->
    <!--ID der Bearbeitung (Version):  sections-311976-->
    <sec>
      <snr>A</snr>
      <par>
        <lno> [– – – FERI]A ˑ SEXTA ˑ POST ˑ ‎/ FESTUM ˑ PACHE<appalpha id=""footnotes-appalpha-dio-di102-0014-a"">a)</appalpha> ˑ O(BIIT) ‎/ BERN<lig>AR</lig>D(US) ˑ DE G[– – –]<appalpha id=""footnotes-appalpha-dio-di102-0014-b"">b)</appalpha></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279363-->
    <!--ID des Inschriftenteils:  sections-296188-->
    <!--ID der Bearbeitung (Version):  sections-312766-->
    <sec>
      <snr>B</snr>
      <par>
        <lno> 72</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0015~1;"<sco>
    <!--ID der Inschrift:  sections-278561-->
    <!--ID des Inschriftenteils:  sections-295368-->
    <!--ID der Bearbeitung (Version):  sections-311923-->
    <sec>
      <par>
        <lno>[– – –ALH]EYDIS (ET)<appalpha id=""footnotes-appalpha-dio-di102-0015-a"">a)</appalpha> KATERI‎/NA ˑ F[ILI]E ˑ [G]OT‎/SCAL[C]I DE<appalpha id=""footnotes-appalpha-dio-di102-0015-b"">b)</appalpha> [– – –]</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0016~1;"<sco>
<!--ID der Inschrift:  sections-275385--><!--ID des Inschriftenteils:  sections-292058--><!--ID der Bearbeitung (Version):  sections-308478-->
<sec>
<snr>A</snr>
<par>
<lno> Ann[o] d(omi)ni M ccc [..] ‎/ i(n) die s(an)c(t)i vit[i] o(biit) ghertrudis v[xor – – –] ‎/ [– – –]ta[.]e(n) dicti </lno>
</par>
</sec>
<!--ID der Inschrift:  sections-279595--><!--ID des Inschriftenteils:  sections-296433--><!--ID der Bearbeitung (Version):  sections-313062-->
<sec>
<snr>B</snr>
<par>
<lno> 37</lno>
</par>
</sec>
<!--ID der Inschrift:  sections-279594--><!--ID des Inschriftenteils:  sections-296432--><!--ID der Bearbeitung (Version):  sections-313061-->
<sec>
<snr>C</snr>
<par>
<lno> 49</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0017~1;"<sco>
    <!--ID der Inschrift:  sections-275358-->
    <!--ID des Inschriftenteils:  sections-292031-->
    <!--ID der Bearbeitung (Version):  sections-308451-->
    <sec>
      <par>
        <lno> [– – –] ˑ O(BIIT) ˑ EL‎/ISABE[T]H ‎/ FIL[IA – – –] <lig>OR</lig>(ATE)<appalpha id=""footnotes-appalpha-dio-di102-0017-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0018~1;"<sco>
    <!--ID der Inschrift:  sections-269612-->
    <!--ID des Inschriftenteils:  sections-286063-->
    <!--ID der Bearbeitung (Version):  sections-302440-->
    <sec>
      <par>
        <lno> + ˑ MAGISTER ˑ BATOLˑAMEUˑS ˑ FECIT ET EE<appalpha id=""footnotes-appalpha-dio-di102-0018-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0019~1;"<sco>
    <!--ID der Inschrift:  sections-269925-->
    <!--ID des Inschriftenteils:  sections-286387-->
    <!--ID der Bearbeitung (Version):  sections-302771-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>[I(ESUS)] N(AZARENUS) R(EX) [I(UDAEORUM)]<appnum id=""footnotes-appnum-dio-di102-0019-5"">5)</appnum></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-269926-->
    <!--ID des Inschriftenteils:  sections-286388-->
    <!--ID der Bearbeitung (Version):  sections-302772-->
    <sec>
      <snr>B†</snr>
      <par>
        <lno>i(esus) n(azarenus) r(ex) i(udaeorum)<appnum id=""footnotes-appnum-dio-di102-0019-6"">6)</appnum></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-269927-->
    <!--ID des Inschriftenteils:  sections-286389-->
    <!--ID der Bearbeitung (Version):  sections-302773-->
    <sec>
      <snr>C†</snr>
      <par>
        <lno>VIEL<appalpha id=""footnotes-appalpha-dio-di102-0019-a"">a)</appalpha> VOGEL HASSEN MIC[H] ‎/ </lno>
        <lno>ICH [......]<appalpha id=""footnotes-appalpha-dio-di102-0019-b"">b)</appalpha> EVL VND ACHTS NI[CH]<appnum id=""footnotes-appnum-dio-di102-0019-7"">7)</appnum></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0020~1;"<sco>
<!--ID der Inschrift:  sections-269475--><!--ID des Inschriftenteils:  sections-285893--><!--ID der Bearbeitung (Version):  sections-302267-->
<sec>
<par>
<lno>AN(N)O ˑ D(OMIN)I ˑ M ˑ CCC ˑ LI ˑ ‎/ QVARTA ˑ FE(R)IA ˑ ANTE ˑ D(OMI)NI‎/CAM ˑ PALMARVM ˑ D(OMI)N(V)S ˑ IO‎/ANNES ˑ EP(ISCOPV)S ˑ CAMINE(N)SIS ‎/ CONSECRAVIT ˑ HOC ˑ ALTA‎/RE IN HONORE ˑ S(AN)C(T)ORVM ˑ ‎/ AP(OSTO)LORVM ˑ SYMONIS ˑ ET ˑ ‎/ IVDE ˑ OLAVI ˑ REGIS ˑ ‎/ MARTIRIS ˑ SANCTARVM CATHARI(N)E MA(GD)ALENE ET DOROTEE MARTIR(VM) AMEN</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0021~1;"<sco>
    <!--ID der Inschrift:  sections-269497-->
    <!--ID des Inschriftenteils:  sections-285915-->
    <!--ID der Bearbeitung (Version):  sections-302292-->
    <sec>
      <par>
        <lno>[– – –] ‎/ natiuitatis marie o(biit) herma(n)n(us) zeger ˑ (et)<appalpha id=""footnotes-appalpha-dio-di102-0021-a"">a)</appalpha> ˑ anno ‎/ liii<sup>o</sup> in crastino lucie virgi(ni)s o(biit) ˑ ‎/ ioh(ann)es zeger fili(us) ei(us) or(ate) p(ro) eis</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0022~1;"<sco>
    <!--ID der Inschrift:  sections-269876-->
    <!--ID des Inschriftenteils:  sections-286331-->
    <!--ID der Bearbeitung (Version):  sections-302712-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>Hic Jacet Domin(us)<appalpha id=""footnotes-appalpha-dio-di102-0022-a"">a)</appalpha> Arnold(us) Voet Fili(us) D(omi)ni Conradi voet de Tremonia<appalpha id=""footnotes-appalpha-dio-di102-0022-b"">b)</appalpha> in Westfalia qui obiit Feria quinta<appalpha id=""footnotes-appalpha-dio-di102-0022-c"">c)</appalpha> ante Festum S(anc)ti Bartholom(aei) A(nn)o D(omi)ni m<sup>o</sup> ccc<sup>o</sup> L vto<appalpha id=""footnotes-appalpha-dio-di102-0022-d"">d)</appalpha> orate pro Anima ejus</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-278368-->
    <!--ID des Inschriftenteils:  sections-295140-->
    <!--ID der Bearbeitung (Version):  sections-311669-->
    <sec>
      <snr>B</snr>
      <par>
        <lno>Hic Jacet<appalpha id=""footnotes-appalpha-dio-di102-0022-e"">e)</appalpha> Catharina quondam uxor D(omi)ni Arnoldi voet Filia D(omi)ni Leonis Falke<appalpha id=""footnotes-appalpha-dio-di102-0022-f"">f)</appalpha> quae obiit [– – –] A(nn)o m<sup>o</sup> ˑ ccc [– – –]<appalpha id=""footnotes-appalpha-dio-di102-0022-g"">g)</appalpha></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-278369-->
    <!--ID des Inschriftenteils:  sections-295141-->
    <!--ID der Bearbeitung (Version):  sections-311670-->
    <sec>
      <snr>C</snr>
      <par>
        <lno>Hic Jacet Heleke Filia eorum<appalpha id=""footnotes-appalpha-dio-di102-0022-h"">h)</appalpha> quae obiit Feria quinta ante Festum<appalpha id=""footnotes-appalpha-dio-di102-0022-i"">i)</appalpha> Apost(oli) Bartholom(aei) A(nn)o D(omi)ni millesimo ccc<sup>o</sup> L v<sup>o</sup> Anima ejus requiescat in pace</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0023~1;"<sco>
    <!--ID der Inschrift:  sections-269875-->
    <!--ID des Inschriftenteils:  sections-286330-->
    <!--ID der Bearbeitung (Version):  sections-302711-->
    <sec>
      <par>
        <lno>ˑ anno ˑ domini ˑ millesimo ˑ tricen‎/tesimo ˑ quinquagesimo ˑ septimo ˑ in ˑ ‎// ˑ vigilia ˑ annunciacionis ˑ sancte ˑ marie ‎/ ˑ uirginis ˑ obiit ˑ dominus ˑ albertus ‎/ ˑ houener ˑ proconsul ˑ zondensis<appalpha id=""footnotes-appalpha-dio-di102-0023-a"">a)</appalpha> ˑ cuius ‎// ˑ anima ˑ requiescat ˑ in ˑ pace ˑ amen ˑ</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0024~1;"<sco>
    <!--ID der Inschrift:  sections-269310-->
    <!--ID des Inschriftenteils:  sections-285728-->
    <!--ID der Bearbeitung (Version):  sections-302180-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>a(n)no d(omi)ni M ccc xxx i(n)<appalpha id=""footnotes-appalpha-dio-di102-0024-a"">a)</appalpha> die ‎/ purificac(i)o(n)is o(biit) io[h(ann)]es ‎/ [..........] <lig>or</lig>(ate) pro eo (et)<appalpha id=""footnotes-appalpha-dio-di102-0024-b"">b)</appalpha> ‎/ p(ro) ioh(ann)e filio suo qui o(biit) i(n) vi(gili)a ‎/ s(an)c(t)i iacobi sub a(n)no lxi </lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-269311-->
    <!--ID des Inschriftenteils:  sections-285729-->
    <!--ID der Bearbeitung (Version):  sections-302181-->
    <sec>
      <snr>B</snr>
      <par>
        <lno>A(n)no ˑ d(omi)ni ˑ M<sup>o</sup> ˑ ccc<sup>o</sup> ˑ xc<sup>o</sup> ˑ sabbato ˑ post ‎/ festu(m) co(r)po(r)is (christ)i<appalpha id=""footnotes-appalpha-dio-di102-0024-c"">c)</appalpha> o(biit) [........] ‎/ [.........] quo(n)da(m)<appalpha id=""footnotes-appalpha-dio-di102-0024-d"">d)</appalpha> ˑ co(n)sul ˑ an(n)o ‎/ lxxxix ˑ i(n)<appalpha id=""footnotes-appalpha-dio-di102-0024-e"">e)</appalpha> ˑ die ˑ alex[– – –] ‎/ [– – –] ei(us) ˑ or(ate) ˑ p(ro) eis </lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279443-->
    <!--ID des Inschriftenteils:  sections-296270-->
    <!--ID der Bearbeitung (Version):  sections-312870-->
    <sec>
      <snr>C</snr>
      <par>
        <lno> iste lapi[s pertinet] nicolao gleuinck ‎/ et sui[s – – –]<appalpha id=""footnotes-appalpha-dio-di102-0024-f"">f)</appalpha></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279446-->
    <!--ID des Inschriftenteils:  sections-296273-->
    <!--ID der Bearbeitung (Version):  sections-312873-->
    <sec>
      <snr>D</snr>
      <par>
        <lno>36 ‎// 38<appalpha id=""footnotes-appalpha-dio-di102-0024-g"">g)</appalpha> ‎// 69</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0025~1;"<sco>
    <!--ID der Inschrift:  sections-279325-->
    <!--ID des Inschriftenteils:  sections-296149-->
    <!--ID der Bearbeitung (Version):  sections-312706-->
    <sec>
      <snr>A</snr>
      <par>
        <lno> [anno domini m ccc ‎/ lxvi]i die elisabet ob(iit) gherard(us) <lig>de</lig> vechte ‎/ [– – –]</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279343-->
    <!--ID des Inschriftenteils:  sections-296168-->
    <!--ID der Bearbeitung (Version):  sections-312738-->
    <sec>
      <snr>B</snr>
      <par>
        <lno> Dieser Stein vnd Begräb-‎/nis Gehöret, ‎/ BALTZER KINDLER ‎/vnd seinen Erben ‎/ ANNO 1726<appalpha id=""footnotes-appalpha-dio-di102-0025-a"">a)</appalpha></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279344-->
    <!--ID des Inschriftenteils:  sections-296169-->
    <!--ID der Bearbeitung (Version):  sections-312739-->
    <sec>
      <snr>C</snr>
      <par>
        <lno> 102.</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0026~1;"<sco>
<!--ID der Inschrift:  sections-278021--><!--ID des Inschriftenteils:  sections-294761--><!--ID der Bearbeitung (Version):  sections-311287-->
<sec>
<par>
<lno> [– – –] M ˑ ccc ‎/ lxxii die nativit(atis) marie [– – –]</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0027~1;"<sco>
<!--ID der Inschrift:  sections-275115--><!--ID des Inschriftenteils:  sections-291788--><!--ID der Bearbeitung (Version):  sections-308208-->
<sec>
<snr>A</snr>
<par>
<lno>a(n)no d(omi)ni M c‎/cclxxiiii [– – –]</lno>
</par>
</sec>
<!--ID der Inschrift:  sections-280115--><!--ID des Inschriftenteils:  sections-297155--><!--ID der Bearbeitung (Version):  sections-313782-->
<sec>
<snr>B</snr>
<par>
<lno>[– – –] ‎/ Vnd [se]in[en erbe]n. ‎/ ANNO 1[...]</lno>
</par>
</sec>
<!--ID der Inschrift:  sections-279585--><!--ID des Inschriftenteils:  sections-296423--><!--ID der Bearbeitung (Version):  sections-313052-->
<sec>
<snr>C</snr>
<par>
<lno> Jochim ˑ Maas ˑ ‎/ und Seinen Erben ˑ ‎/ Anno ‎// 1703 : ˑ </lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0028~1;"<sco>
    <!--ID der Inschrift:  sections-269780-->
    <!--ID des Inschriftenteils:  sections-286235-->
    <!--ID der Bearbeitung (Version):  sections-302616-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>a(n)no d(omi)ni ˑ M cc‎/c ⟨– – –⟩<appalpha id=""footnotes-appalpha-dio-di102-0028-a"">a)</appalpha> o(biit) ioh(anne)s dabelkouue<appalpha id=""footnotes-appalpha-dio-di102-0028-b"">b)</appalpha> ‎/ ˑ (et)<appalpha id=""footnotes-appalpha-dio-di102-0028-c"">c)</appalpha> a(n)no lxxiiii<appalpha id=""footnotes-appalpha-dio-di102-0028-d"">d)</appalpha> ˑ ‎/ i(n) <lig>do</lig>(m)inica [....]a[– – –] vxor [eius]<appalpha id=""footnotes-appalpha-dio-di102-0028-e"">e)</appalpha></lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-269781-->
    <!--ID des Inschriftenteils:  sections-286236-->
    <!--ID der Bearbeitung (Version):  sections-302617-->
    <sec>
      <snr>B</snr>
      <par>
        <lno>desse ˑ sten ˑ hort ˑ Jacob ˑ peters ˑ to ˑ vn(de) ˑ sine(n) ˑ eruen ˑ</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-275026-->
    <!--ID des Inschriftenteils:  sections-291695-->
    <!--ID der Bearbeitung (Version):  sections-308114-->
    <sec>
      <snr>C</snr>
      <par>
        <lno> DISSE STEN VND ‎/ BEGREFTENISSE ‎/ HORT SWEDER MOL‎/LER VND SINEN ERVEN ‎/ 1624</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-275028-->
    <!--ID des Inschriftenteils:  sections-291697-->
    <!--ID der Bearbeitung (Version):  sections-308116-->
    <sec>
      <snr>D</snr>
      <par>
        <lno>A(nn)o 1727 Jst diese Be=‎/grebnis der Kirche geschen=‎/ket worden, und sol von ‎/ nun an, Jn 50 Jahren nicht ‎/ geofnet werden</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-275027-->
    <!--ID des Inschriftenteils:  sections-291696-->
    <!--ID der Bearbeitung (Version):  sections-308115-->
    <sec>
      <snr>E</snr>
      <par>
        <lno> 140</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0029~1;"<sco>
<!--ID der Inschrift:  sections-274617--><!--ID des Inschriftenteils:  sections-291240--><!--ID der Bearbeitung (Version):  sections-307678-->
<sec>
<snr>A</snr>
<par>
<lno> s mathia[s]</lno>
</par>
</sec>
<!--ID der Inschrift:  sections-269903--><!--ID des Inschriftenteils:  sections-286362--><!--ID der Bearbeitung (Version):  sections-302746-->
<sec>
<snr>B†</snr>
<par>
<lno>s paulus</lno>
</par>
</sec>
<!--ID der Inschrift:  sections-274936--><!--ID des Inschriftenteils:  sections-291599--><!--ID der Bearbeitung (Version):  sections-308020-->
<sec>
<snr>C</snr>
<par>
<lno>s io[h(ann)]es</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0030~1;"<sco>
    <!--ID der Inschrift:  sections-275362-->
    <!--ID des Inschriftenteils:  sections-292035-->
    <!--ID der Bearbeitung (Version):  sections-308455-->
    <sec>
      <par>
        <lno> Anno ˑ d(omi)ni ˑ M<sup>o</sup> ‎/ ccc<sup>o</sup> lxxvi<sup>o</sup> ˑ fe(r)i[a] ˑ iiiia ˑ ante ˑ festum ˑ b(ea)ti ˑ ‎/ mychel[is] o(biit) ‎/ hermannus ˑ ba[– – –] [orate] ˑ p(ro) ˑ eo</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0031~1;"<sco>
    <!--ID der Inschrift:  sections-279292-->
    <!--ID des Inschriftenteils:  sections-296115-->
    <!--ID der Bearbeitung (Version):  sections-312672-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>[– – –] ‎/ [– – –] hinric(us) de vre<lig>de</lig>n fundator hui(us) cap[elle – – –]</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-279340-->
    <!--ID des Inschriftenteils:  sections-296165-->
    <!--ID der Bearbeitung (Version):  sections-312733-->
    <sec>
      <snr>B</snr>
      <par>
        <lno>29 ‎// 65. ‎// 86<appalpha id=""footnotes-appalpha-dio-di102-0031-a"">a)</appalpha> ‎// 112</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0032~1;"<sco>
    <!--ID der Inschrift:  sections-269815-->
    <!--ID des Inschriftenteils:  sections-286270-->
    <!--ID der Bearbeitung (Version):  sections-302651-->
    <sec>
      <par>
        <lno>An(n)o : d(omi)ni : M<sup>o</sup> : ccc<sup>o</sup> : lxxx<sup>o</sup> : i(n) : die : nati(vi)tat(is) ‎/  [(christ)i<appalpha id=""footnotes-appalpha-dio-di102-0032-a"">a)</appalpha> : o(biit)] ‎/ margareta : uxor : eius : or(ate) : </lno>
      </par>
    </sec>
  </sco>"
